who_region,year,countries,avg_obesity_pct,avg_sugar_kg_per_capita,avg_sugar_kcal_per_capita_day,sugar_obesity_corr
Africa,2010,38,9.594440715789474,19.21763157894737,164.2007894736842,0.758968498907801
Africa,2011,38,9.88429507368421,19.021842105263158,164.88736842105263,0.7543159424844047
Africa,2012,38,10.176930184210526,19.71763157894737,164.91552631578946,0.7273258035045108
Africa,2013,38,10.478425315789474,20.856052631578947,169.9557894736842,0.7271178968663692
Africa,2014,38,10.795347878947368,20.480263157894736,166.69052631578947,0.7180087212325881
Africa,2015,38,11.130086855263158,20.958947368421054,165.72815789473685,0.713187945699592
Africa,2016,38,11.483961928947368,21.205,165.0107894736842,0.7172996041743342
Africa,2017,38,11.853530192105262,21.86315789473684,169.47315789473683,0.7114310727228629
Africa,2018,38,12.23564742631579,21.86921052631579,167.5778947368421,0.7101010515822326
Africa,2019,38,12.632643505263157,22.50657894736842,168.84157894736842,0.650197602911335
Africa,2020,38,13.04700755,22.03842105263158,165.30526315789473,0.6535662424865736
Africa,2021,38,13.4767274,22.987368421052633,166.70868421052631,0.6385172429984025
Africa,2022,38,13.922537571052631,23.181578947368422,171.4765789473684,0.6311934118189865
Africa,2023,38,14.385071794736842,23.716315789473683,168.7721052631579,0.6158437948153814
Americas,2010,34,23.844059229411766,52.92029411764706,420.33941176470586,0.24224005054044007
Americas,2011,34,24.485923664705883,53.427058823529414,420.81529411764706,0.37555894937878725
Americas,2012,34,25.13006051764706,54.20117647058824,425.0176470588235,0.33892289367616774
Americas,2013,34,25.775043538235295,55.56617647058823,426.2264705882353,0.289503612527708
Americas,2014,34,26.42224915588235,53.17588235294118,413.77029411764704,0.37561052379305193
Americas,2015,34,27.07328583235294,52.991176470588236,412.265,0.3666144678465571
Americas,2016,34,27.725367547058823,53.97941176470588,409.27382352941174,0.3846437518460674
Americas,2017,34,28.37303239117647,54.620294117647056,411.92,0.3595552806466908
Americas,2018,34,29.01268019117647,52.30235294117647,404.1420588235294,0.30664898848268657
Americas,2019,34,29.652169773529412,50.951470588235296,390.7279411764706,0.3504900033010136
Americas,2020,33,30.593359563636362,49.66,378.5160606060606,0.2549789725473686
Americas,2021,33,31.24840615151515,51.11151515151515,373.8393939393939,0.21514260807754115
Americas,2022,33,31.905854484848486,54.35484848484848,375.5872727272727,0.1577253603887926
Americas,2023,33,32.56784442424242,54.407575757575756,373.3569696969697,0.1594239003077287
Eastern Mediterranean,2010,17,24.0979952,36.818823529411766,316.35117647058826,0.3561905503411926
Eastern Mediterranean,2011,17,24.559099664705883,37.47294117647059,316.56176470588235,0.2991209699486931
Eastern Mediterranean,2012,17,25.004740429411765,37.347647058823526,315.0564705882353,0.27792010343234846
Eastern Mediterranean,2013,17,25.45534383529412,36.735882352941175,312.5494117647059,0.320278153089348
Eastern Mediterranean,2014,17,25.903344305882353,36.90882352941176,314.8741176470588,0.3114156849082156
Eastern Mediterranean,2015,17,26.34154067647059,35.894705882352945,305.4794117647059,0.3846197323649147
Eastern Mediterranean,2016,17,26.773115605882353,36.53588235294118,317.10058823529414,0.26396146478627225
Eastern Mediterranean,2017,17,27.16572541764706,37.89176470588235,321.12,0.295455253545415
Eastern Mediterranean,2018,17,27.517436752941176,35.41705882352941,300.7958823529412,0.2737419264352652
Eastern Mediterranean,2019,19,28.8218378,36.57368421052632,313.0836842105263,0.18417354158946672
Eastern Mediterranean,2020,19,29.163762773684212,35.054736842105264,295.5621052631579,0.0646009758624547
Eastern Mediterranean,2021,19,29.513731368421052,34.37263157894737,285.5842105263158,0.08936289735950229
Eastern Mediterranean,2022,19,29.831458315789472,38.770526315789475,287.3757894736842,0.35341634154746093
Eastern Mediterranean,2023,19,30.119131421052632,37.30894736842105,289.03526315789475,0.3095688007565045
Europe,2010,50,19.191781234,51.4242,350.2008,0.03768352207197466
Europe,2011,50,19.47020866,52.0584,351.007,0.08665284829788661
Europe,2012,50,19.73118518,53.1768,351.531,0.07322828427839755
Europe,2013,50,19.98080714,52.7446,351.5848,0.01568301751305849
Europe,2014,50,20.22101668,51.1344,347.759,-0.004685177031158233
Europe,2015,50,20.4562793,50.4382,340.2404,-0.01583829579762466
Europe,2016,50,20.68742202,49.8378,338.6148,-0.026649560142746564
Europe,2017,50,20.90661552,50.7722,340.2236,-0.016011746457109743
Europe,2018,50,21.1147234,51.1306,336.836,0.011593885956639292
Europe,2019,50,21.3182277,51.5314,337.3492,0.06390182129891275
Europe,2020,50,21.526266,50.561,331.0062,0.030190009033516176
Europe,2021,50,21.739784,52.3858,335.295,0.01982948968724121
Europe,2022,50,21.95790126,54.1728,340.1394,-0.040260805667267946
Europe,2023,50,22.1830451,55.187,341.1632,-0.04164007454538473
South-East Asia,2010,9,4.918056411111111,26.543333333333333,201.2511111111111,0.6677152461271804
South-East Asia,2011,9,5.189905688888889,27.29222222222222,202.80777777777777,0.6434315642090442
South-East Asia,2012,9,5.475651544444444,28.466666666666665,205.53222222222223,0.5662444627943477
South-East Asia,2013,9,5.776942177777777,27.965555555555557,206.97555555555556,0.5709025662749895
South-East Asia,2014,9,6.094833677777777,26.087777777777777,200.11444444444444,0.4946398198684838
South-East Asia,2015,9,6.432899188888889,26.52111111111111,213.69222222222223,0.5814378538752752
South-East Asia,2016,9,6.7892402,26.186666666666667,203.69,0.4930334482053145
South-East Asia,2017,9,7.158144011111111,24.736666666666668,196.31666666666666,0.5013808691974434
South-East Asia,2018,9,7.537285244444444,25.923333333333332,204.45333333333335,0.5417367710983942
South-East Asia,2019,9,8.021200466666667,26.656666666666666,211.69222222222223,0.5784040742572268
South-East Asia,2020,9,8.426228144444444,26.226666666666667,205.7111111111111,0.5229258992873147
South-East Asia,2021,9,8.845790433333333,26.70777777777778,208.71555555555557,0.528133704752447
South-East Asia,2022,9,9.284604455555556,25.41777777777778,199.90444444444444,0.46300457579200005
South-East Asia,2023,9,9.743355466666667,24.157777777777778,203.91,0.7426132106788584
Western Pacific,2010,18,18.559297815555556,39.25222222222222,264.53222222222223,0.31891269566818786
Western Pacific,2011,18,18.922386774444444,38.78,265.49888888888887,0.33885933003440266
Western Pacific,2012,18,19.289262316666665,39.80111111111111,268.55555555555554,0.3184784043276836
Western Pacific,2013,18,19.663976404444444,39.49777777777778,267.1116666666667,0.32879372371095866
Western Pacific,2014,18,20.047663255555555,41.215555555555554,275.53444444444443,0.35403868721489823
Western Pacific,2015,18,20.443506166666666,40.93277777777778,268.2138888888889,0.3627835104952147
Western Pacific,2016,18,20.850841255555554,40.985,267.4738888888889,0.3728006326758966
Western Pacific,2017,18,21.264992922222223,40.504444444444445,260.7561111111111,0.3424991628500054
Western Pacific,2018,18,21.68344443333333,39.52722222222222,262.5888888888889,0.31411273212701163
Western Pacific,2019,23,29.87864791304348,42.68608695652174,277.82217391304346,0.43922711726039537
Western Pacific,2020,23,30.316782365217392,44.29521739130435,285.5282608695652,0.365609949321672
Western Pacific,2021,23,30.77124089130435,46.055217391304346,283.0886956521739,0.43959431012417705
Western Pacific,2022,23,31.232645060869565,44.08391304347826,291.5695652173913,0.5193577520241306
Western Pacific,2023,23,31.699063186956522,45.08565217391304,287.90608695652173,0.46718079365021004
